Category: All categories

Week,fortnite: (Worldwide)
2017-04-09,<1
2017-04-16,<1
2017-04-23,<1
2017-04-30,<1
2017-05-07,<1
2017-05-14,<1
2017-05-21,<1
2017-05-28,<1
2017-06-04,<1
2017-06-11,<1
2017-06-18,<1
2017-06-25,<1
2017-07-02,<1
2017-07-09,1
2017-07-16,3
2017-07-23,7
2017-07-30,4
2017-08-06,2
2017-08-13,1
2017-08-20,1
2017-08-27,1
2017-09-03,1
2017-09-10,1
2017-09-17,2
2017-09-24,8
2017-10-01,10
2017-10-08,8
2017-10-15,7
2017-10-22,9
2017-10-29,9
2017-11-05,8
2017-11-12,8
2017-11-19,9
2017-11-26,11
2017-12-03,15
2017-12-10,15
2017-12-17,14
2017-12-24,15
2017-12-31,16
2018-01-07,19
2018-01-14,33
2018-01-21,38
2018-01-28,34
2018-02-04,34
2018-02-11,39
2018-02-18,49
2018-02-25,59
2018-03-04,60
2018-03-11,100
2018-03-18,89
2018-03-25,92
2018-04-01,91
