Category: All categories

Week,fortnite: (Worldwide)
2017-05-07,<1
2017-05-14,<1
2017-05-21,<1
2017-05-28,<1
2017-06-04,<1
2017-06-11,<1
2017-06-18,<1
2017-06-25,<1
2017-07-02,<1
2017-07-09,1
2017-07-16,3
2017-07-23,6
2017-07-30,3
2017-08-06,2
2017-08-13,1
2017-08-20,1
2017-08-27,1
2017-09-03,1
2017-09-10,1
2017-09-17,2
2017-09-24,7
2017-10-01,9
2017-10-08,7
2017-10-15,6
2017-10-22,8
2017-10-29,8
2017-11-05,7
2017-11-12,7
2017-11-19,8
2017-11-26,10
2017-12-03,13
2017-12-10,13
2017-12-17,12
2017-12-24,13
2017-12-31,14
2018-01-07,17
2018-01-14,29
2018-01-21,33
2018-01-28,31
2018-02-04,30
2018-02-11,35
2018-02-18,44
2018-02-25,54
2018-03-04,53
2018-03-11,91
2018-03-18,80
2018-03-25,85
2018-04-01,84
2018-04-08,95
2018-04-15,79
2018-04-22,76
2018-04-29,100
